sr_no,latitude,longitude,h_avg_m
1,30.12714,78.25838,21
2,30.12591,78.25545,23
3,30.12571,78.25219,25
4,30.12482,78.24848,18.9
5,30.12400,78.24399,22.9
6,30.12352,78.24239,28
7,30.12324,78.21408,21.1
8,30.11462,78.21178,28
9,30.11833,78.21266,26
10,30.11624,78.21386,25
11,30.11104,78.21126,24
12,30.11203,78.21730,24
13,30.11513,78.22126,25
14,30.11762,78.22585,27
15,30.11470,78.23486,23
16,30.09903,78.24655,21
17,30.16393,78.22347,24
18,30.16732,78.18990,22
19,30.12172,78.17496,21
20,30.12922,78.17127,15
21,30.12954,78.17359,21
22,30.09192,78.19826,27
23,30.08774,78.20958,24
24,30.10013,78.21136,21
25,30.16532,78.23998,24
26,30.16502,78.24088,25
27,30.15431,78.24398,28
28,30.14183,78.24697,20
29,30.14150,78.24620,24
30,30.13442,78.25039,24
31,30.12912,78.25785,21
32,30.16201,78.21787,21
33,30.10421,78.17825,25
34,30.20603,78.16357,26
35,30.20782,78.16715,22
36,30.20983,78.16849,25
37,30.21480,78.18149,23
38,30.21880,78.18719,22
39,30.21921,78.19969,29
40,30.21432,78.20336,27
41,30.23772,78.15269,23
42,30.23551,78.15275,18
43,30.22994,78.15156,23
44,30.22433,78.15510,28
45,30.22454,78.16870,28
46,30.22583,78.17629,24
47,30.23333,78.18968,24
48,30.22284,78.19886,24
49,30.24042,78.17935,26.8
50,30.24403,78.17946,25.2
51,30.24894,78.18358,27.6
52,30.25234,78.18878,23.4
53,30.24553,78.19500,25
54,30.24250,78.19467,23.6
55,30.23784,78.18348,24.3
56,30.20474,78.16459,24.6
57,30.20611,78.19435,22
58,30.15704,78.23228,23
59,30.15261,78.23198,18
60,30.14880,78.23105,24
61,30.14113,78.22867,27
62,30.14103,78.22826,24
63,30.13574,78.22758,27
64,30.11084,78.21028,21.8
65,30.11071,78.20815,28
66,30.11270,78.21297,23
67,30.11751,78.22498,20.5
68,30.12302,78.22928,22.2
69,30.13123,78.22755,23.4
70,30.09361,78.18670,25.6
71,30.16112,78.24187,28
72,30.17082,78.23568,23.9
73,30.16372,78.23468,20
74,30.15941,78.22095,20.3
75,30.12654,78.25979,24.3
76,30.11681,78.23418,21.3
77,30.10572,78.23869,27.8
78,30.10163,78.24788,22.5
79,30.10671,78.20018,23
80,30.10752,78.19185,28.5
81,30.17030,78.18826,21.8
82,30.16440,78.19066,16.6
83,30.11653,78.27688,21.4
84,30.10534,78.26370,18.5
85,30.10132,78.27216,24.6
86,30.10164,78.27438,21
87,30.11964,78.27269,23.9
88,30.11433,78.21288,18
89,30.11844,78.21349,18.7
90,30.12323,78.24157,21
91,30.08834,78.20588,20
92,30.09462,78.19186,21.5
93,30.10262,78.19469,25
94,30.09642,78.19139,22
95,30.09970,78.19109,23.5
96,30.12962,78.18770,24.3
97,30.11910,78.19365,25.7
98,30.14000,78.17158,25.6
99,30.09393,78.15568,20.5
100,30.10421,78.17198,25
